,network,seed,low,mid,high
0,1,0,918,0,0
1,1,1,921,0,0
2,1,2,924,0,0
3,1,3,917,0,0
4,1,4,925,0,0
5,1,5,918,0,0
6,1,6,923,3,0
7,1,7,921,0,0
8,1,8,914,0,0
9,1,9,925,0,0
10,1,10,919,0,0
11,1,11,922,0,0
12,1,12,921,2,0
13,1,13,916,0,0
14,1,14,921,0,0
15,1,15,921,0,0
16,1,16,917,0,0
17,1,17,921,3,0
18,1,18,927,7,0
19,1,19,918,0,0
20,1,20,910,0,0
21,1,21,924,0,0
22,1,22,916,0,0
23,1,23,913,0,0
24,1,24,922,0,0
25,1,25,919,0,0
26,1,26,922,0,0
27,1,27,923,0,0
28,1,28,924,0,0
29,1,29,921,0,0
30,1,30,921,0,0
31,1,31,919,0,0
32,1,32,919,0,0
33,1,33,919,0,0
34,1,34,926,0,0
35,1,35,911,0,0
36,1,36,921,0,0
37,1,37,917,0,0
38,1,38,921,0,0
39,1,39,918,0,0
40,1,40,916,0,0
41,1,41,918,0,0
42,1,42,919,0,0
43,1,43,913,0,0
44,1,44,913,0,0
45,1,45,915,0,0
46,1,46,920,0,0
47,1,47,919,0,0
48,1,48,920,0,0
49,1,49,922,0,0
50,1,50,917,0,0
51,1,51,917,0,0
52,1,52,919,0,0
53,1,53,919,0,0
54,1,54,907,4,0
55,1,55,921,0,0
56,1,56,912,0,0
57,1,57,919,2,0
58,1,58,923,0,0
59,1,59,920,0,0
60,1,60,915,0,0
61,1,61,925,0,0
62,1,62,924,0,0
63,1,63,922,0,0
64,1,64,924,0,0
65,1,65,916,0,0
66,1,66,918,0,0
67,1,67,916,0,0
68,1,68,922,0,0
69,1,69,921,0,0
70,1,70,922,0,0
71,1,71,921,0,0
72,1,72,912,0,0
73,1,73,922,2,0
74,1,74,920,0,0
75,1,75,918,0,0
76,1,76,924,0,0
77,1,77,924,0,0
78,1,78,919,0,0
79,1,79,920,0,0
80,1,80,921,1,0
81,1,81,918,3,0
82,1,82,915,0,0
83,1,83,914,2,0
84,1,84,916,0,0
85,1,85,927,0,0
86,1,86,916,0,0
87,1,87,917,0,0
88,1,88,911,0,0
89,1,89,926,0,0
90,1,90,928,0,0
91,1,91,916,0,0
92,1,92,914,0,0
93,1,93,917,0,0
94,1,94,924,0,0
95,1,95,920,0,0
96,1,96,915,0,0
97,1,97,918,1,0
98,1,98,914,0,0
99,1,99,922,0,0
100,2,0,918,0,0
101,2,1,921,0,0
102,2,2,924,0,0
103,2,3,917,0,0
104,2,4,925,0,0
105,2,5,918,0,0
106,2,6,923,3,0
107,2,7,921,0,0
108,2,8,914,0,0
109,2,9,925,0,0
110,2,10,919,0,0
111,2,11,922,0,0
112,2,12,921,2,0
113,2,13,916,0,0
114,2,14,921,0,0
115,2,15,921,0,0
116,2,16,917,0,0
117,2,17,921,3,0
118,2,18,927,7,0
119,2,19,918,0,0
120,2,20,910,0,0
121,2,21,924,0,0
122,2,22,916,0,0
123,2,23,913,0,0
124,2,24,922,0,0
125,2,25,919,0,0
126,2,26,922,0,0
127,2,27,923,0,0
128,2,28,924,0,0
129,2,29,921,0,0
130,2,30,921,0,0
131,2,31,919,0,0
132,2,32,919,0,0
133,2,33,919,0,0
134,2,34,926,0,0
135,2,35,911,0,0
136,2,36,921,0,0
137,2,37,917,0,0
138,2,38,921,0,0
139,2,39,918,0,0
140,2,40,916,0,0
141,2,41,918,0,0
142,2,42,919,0,0
143,2,43,913,0,0
144,2,44,913,0,0
145,2,45,915,0,0
146,2,46,920,0,0
147,2,47,919,0,0
148,2,48,920,0,0
149,2,49,922,0,0
150,2,50,917,0,0
151,2,51,917,0,0
152,2,52,919,0,0
153,2,53,919,0,0
154,2,54,907,4,0
155,2,55,921,0,0
156,2,56,912,0,0
157,2,57,919,2,0
158,2,58,923,0,0
159,2,59,920,0,0
160,2,60,915,0,0
